類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
電機	5288	豐祥-KY	-45.0	0.0	39.0	0	70	0.06%	0.00%	0.11%	賣轉買	買轉賣			97.1	-6.18%
櫃鋼鐵	8415	大國鋼	46.0	0.0	-347.0	1134	1096	-0.03%	0.11%	0.11%	連三週買超	賣轉買			26.8	-0.37%
櫃光電	5315	光聯	-53.0	0.0	503.0	74	113	0.47%	0.07%	0.11%	連三週買超	買轉賣		創新高	13.75	-3.51%
電子零組件	6155	鈞寶	-449.0	0.0	-67.0	-242	92	-0.08%	-0.28%	0.11%	賣轉買	買轉賣			24.15	-0.62%
化學	4766	南寶	58.0	0.0	166.0	313	126	0.14%	0.26%	0.10%	連二週買超	連二週買超			133.0	-4.32%
電子零組件	3015	全漢	-368.0	0.0	-62.0	-76	200	-0.03%	-0.04%	0.10%	賣轉買	連三週賣超			23.1	1.09%
塑膠	1321	大洋	-71.0	0.0	-663.0	181	235	-0.29%	0.08%	0.10%	連三週買超	買轉賣			31.15	-3.11%
電子零組件	3090	日電貿	-638.0	0.0	-1008.0	-285	184	-0.56%	-0.16%	0.10%	連二週買超	買轉賣			51.0	-5.73%
櫃農科	1240	茂生農經	-9.0	0.0	29.0	0	35	0.09%	0.00%	0.10%	賣轉買			創新高	53.8	-4.10%
櫃電機	4523	永彰	-2.0	0.0	30.0	64	65	0.05%	0.10%	0.10%	連二週買超	買轉賣			22.45	8.45%
塑膠	1301	台塑	4662.0	0.0	11062.0	13368	6400	0.17%	0.21%	0.10%	賣轉買	賣轉買	連三週買超		86.4	-1.37%
電子零組件	3645	達邁	-36.0	0.0	-404.0	103	130	-0.31%	0.08%	0.10%	賣轉買	買轉賣			37.6	-8.18%
航運	5607	遠雄港	485.0	0.0	1969.0	597	230	0.86%	0.26%	0.10%	連三週買超	賣轉買			24.35	-2.01%
櫃電零	3114	好德	-23.0	0.0	74.0	39	56	0.13%	0.07%	0.10%	連三週買超	連三週賣超			21.9	-5.40%
電子零組件	3432	台端	1.0	0.0	114.0	66	66	0.17%	0.10%	0.10%	賣轉買			創新高	11.5	-3.36%
光電	3059	華晶科	1067.0	0.0	437.0	1062	274	0.16%	0.38%	0.10%	賣轉買	連二週買超			24.3	-2.80%
櫃通信	8048	德勝	-71.0	0.0	0.0	0	52	0.00%	0.00%	0.10%	連三週買超	連三週賣超			31.7	-6.21%
櫃他電	6275	元山	-73.0	0.0	-182.0	13	68	-0.26%	0.02%	0.10%	連三週買超	連三週賣超			16.5	-7.30%
橡膠	2109	華豐	99.0	0.0	309.0	398	321	0.09%	0.12%	0.10%	賣轉買	連二週買超		創新高	13.3	1.53%
櫃生技	4105	東洋	-221.0	98.0	174.0	-49	237	0.07%	-0.02%	0.10%	連二週買超	連三週賣超			72.7	-5.46%
電子零組件	2385	群光	1816.0	0.0	2108.0	6285	704	0.29%	0.85%	0.10%	連三週買超	連三週買超	買轉賣		85.0	-1.16%
食品	1216	統一	-8921.0	0.0	-3577.0	-3409	5344	-0.06%	-0.06%	0.09%	賣轉買	買轉賣	買轉賣	創新高	72.0	-2.57%
櫃半導	3169	亞信	-122.0	0.0	-122.0	-38	51	-0.22%	-0.07%	0.09%	賣轉買	連三週賣超			36.45	-6.78%
食品	1210	大成	-1322.0	-200.0	-438.0	-496	771	-0.05%	-0.06%	0.09%	賣轉買	連三週賣超	買轉賣		42.25	-4.41%
其他	9910	豐泰	411.0	0.0	975.0	1469	682	0.13%	0.20%	0.09%	連三週買超	連二週買超	連二週賣超	創新高	187.0	-0.27%
櫃半導	3707	漢磊	843.0	0.0	-695.0	917	273	-0.23%	0.31%	0.09%	連二週買超	連三週買超			26.65	-6.49%
櫃電零	3537	堡達	13.0	0.0	-379.0	53	44	-0.78%	0.11%	0.09%	賣轉買	連三週買超			36.9	-7.98%
電子零組件	2368	金像電	-24704.0	0.0	-17240.0	-18908	489	-3.15%	-3.46%	0.09%					32.45	-7.29%
光電	2323	中環	5539.0	0.0	4101.0	5794	1022	0.35%	0.50%	0.09%	賣轉買	連二週買超	連三週賣超		7.2	-4.76%
櫃其他	8437	大地-KY	-36.0	0.0	19.0	23	41	0.04%	0.05%	0.09%	連二週買超	連三週賣超			198.0	-0.75%
電子零組件	3607	谷崧	119.0	0.0	-225.0	194	104	-0.18%	0.16%	0.09%	連三週買超	連二週買超		創新高	12.15	-2.80%
食品	1227	佳格	-1028.0	0.0	-46.0	2104	779	-0.01%	0.23%	0.09%	連二週買超	連三週賣超	買轉賣		63.9	-2.74%
櫃電零	3710	連展投控	-203.0	0.0	1068.0	20	176	0.52%	0.01%	0.08%	連三週買超	買轉賣		創新高	7.15	-1.38%
光電	5484	慧友	4.0	0.0	44.0	61	57	0.06%	0.09%	0.08%	連三週買超	賣轉買		創新高	8.14	0.49%
通信網路	2345	智邦	-1709.0	-106.0	-784.0	-1787	466	-0.14%	-0.32%	0.08%	賣轉買	連二週賣超	連三週買超		226.5	1.34%
營建	2515	中工	-31.0	0.0	-133.0	1224	1252	-0.01%	0.08%	0.08%	連二週買超	連三週賣超			6.87	-2.55%
營建	2534	宏盛	-826.0	0.0	695.0	-177	481	0.12%	-0.03%	0.08%	連三週買超	買轉賣		創新高	18.75	-0.53%
電腦週邊	2395	研華	182.0	0.0	684.0	-210	566	0.10%	-0.03%	0.08%	賣轉買	連三週買超	連二週賣超		290.0	-1.53%
鋼鐵	2025	千興	0.0	0.0	508.0	224	225	0.18%	0.08%	0.08%	連三週買超			創新高	1.69	-5.59%
汽車	2207	和泰車	697.0	0.0	714.0	2894	436	0.13%	0.53%	0.08%	賣轉買	連三週買超	連二週買超		678.0	16.49%
櫃他電	6151	晉倫	1.0	0.0	46.0	44	44	0.08%	0.08%	0.08%	連三週買超	連二週買超		創新高	21.5	4.37%
營建	1808	潤隆	-2.0	0.0	244.0	0	245	0.08%	0.00%	0.08%	賣轉買	買轉賣			60.8	-2.88%
櫃文創	8450	霹靂	-13.0	0.0	441.0	30	40	0.86%	0.06%	0.08%	賣轉買	買轉賣		創新高	27.8	-6.40%
貿易百貨	2911	麗嬰房	-187.0	0.0	-267.0	0	142	-0.14%	0.00%	0.08%	賣轉買	連二週賣超			6.29	-2.63%
電腦週邊	6172	互億	13.0	0.0	34.0	32	23	0.11%	0.11%	0.08%	連三週買超	連二週買超		創新高	23.2	2.20%
櫃他電	3402	漢科	-96.0	0.0	1.0	-14	56	0.00%	-0.02%	0.08%	連三週買超	連三週賣超		創新高	28.25	-0.53%
電子零組件	6165	捷泰	-79.0	0.0	443.0	-19	38	0.89%	-0.04%	0.08%	賣轉買	買轉賣			31.9	3.24%
櫃資服	3147	大綜	-3.0	0.0	24.0	23	26	0.07%	0.07%	0.08%	連三週買超	連三週賣超		創新高	34.75	-2.11%
櫃半導	5272	笙科	-35.0	0.0	7.0	16	43	0.01%	0.03%	0.08%	賣轉買	買轉賣		創新高	18.2	-5.45%
櫃通信	3152	璟德	-22.0	0.0	40.0	0	52	0.06%	0.00%	0.08%	賣轉買	賣轉買	連三週買超		340.5	0.59%
營建	5533	皇鼎	58.0	0.0	-148.0	256	212	-0.05%	0.09%	0.07%	連三週買超	連二週買超		創新高	16.8	7.01%
化學	4722	國精化	-100.0	0.0	-27.0	0	74	-0.03%	0.00%	0.07%	賣轉買	買轉賣			27.7	-1.07%
電子零組件	4958	臻鼎-KY	2717.0	0.0	2733.0	5142	667	0.30%	0.57%	0.07%	連三週買超	連三週賣超	連三週買超	創新高	133.5	3.09%
航運	2607	榮運	709.0	0.0	3556.0	1387	785	0.33%	0.13%	0.07%	賣轉買	賣轉買			12.9	-1.53%
化學	1727	中華化	8.0	0.0	84.0	88	81	0.08%	0.08%	0.07%	賣轉買	連二週買超		創新高	9.42	-0.84%
櫃電零	5227	立凱-KY	-200.0	0.0	-38.0	24	177	-0.02%	0.01%	0.07%	賣轉買	連二週賣超		創新高	10.85	4.33%
紡織	1402	遠東新	11065.0	13.0	10973.0	14988	3910	0.20%	0.28%	0.07%	連二週買超	連二週買超	連三週買超		27.45	-1.26%
光電	6116	彩晶	3356.0	0.0	4737.0	5641	2285	0.15%	0.18%	0.07%	賣轉買	連二週買超			6.33	-1.71%
電腦週邊	3022	威強電	-175.0	0.0	30.0	0	129	0.02%	0.00%	0.07%	賣轉買	買轉賣			43.1	-5.38%
櫃生技	4109	加捷生醫	-68.0	0.0	-61.0	0	50	-0.09%	0.00%	0.07%	連三週買超	連三週賣超			15.45	-5.21%
櫃通路	6265	方土昶	12.0	0.0	517.0	94	84	0.44%	0.08%	0.07%	賣轉買	連三週買超		創新高	5.93	-1.82%
櫃電零	6664	群翊	-71.0	0.0	-11.0	0	39	-0.02%	0.00%	0.07%	賣轉買	買轉賣			63.0	-3.67%
其它電子	2404	漢唐	-729.0	0.0	-330.0	743	135	-0.17%	0.39%	0.07%	賣轉買	連二週賣超			217.0	1.40%
其他	6671	三能-KY	6.0	0.0	38.0	48	43	0.06%	0.08%	0.07%	賣轉買	連二週買超		創新高	38.9	-0.13%
電子通路	6281	全國電	57.0	2.0	113.0	0	70	0.11%	0.00%	0.07%	連三週買超	賣轉買		創新高	70.9	0.42%
櫃通信	3363	上詮	-122.0	0.0	512.0	-27	63	0.57%	-0.03%	0.07%	賣轉買	買轉賣			23.4	-8.59%
玻璃	1809	中釉	-109.0	0.0	950.0	33	116	0.57%	0.02%	0.07%	賣轉買	買轉賣			9.01	-5.56%
塑膠	1323	永裕	25.0	0.0	-106.0	82	63	-0.12%	0.09%	0.07%	賣轉買	連二週買超			32.85	-1.65%
電器電纜	4930	燦星網	-122.0	0.0	155.0	0	92	0.12%	0.00%	0.07%	連二週買超	連三週賣超			10.3	-4.19%
紡織	1434	福懋	19217.0	0.0	13730.0	18362	1154	0.81%	1.09%	0.07%	連三週買超	連二週買超	賣轉買	創新高	38.4	2.40%
櫃光電	3362	先進光	-74.0	0.0	16.0	22	76	0.01%	0.02%	0.07%	連三週買超	連三週賣超		創新高	37.3	-5.21%
通信網路	3419	譁裕	-110.0	0.0	-37.0	0	82	-0.03%	0.00%	0.07%	賣轉買	買轉賣			13.6	-5.23%
櫃電腦	3709	鑫聯大投控	1.0	0.0	56.0	55	54	0.07%	0.07%	0.07%	連三週買超	賣轉買		創新高	21.0	0.48%
電子通路	6189	豐藝	-209.0	0.0	-1129.0	-35	120	-0.63%	-0.02%	0.07%	賣轉買	買轉賣			33.65	-3.30%
汽車	6605	帝寶	-233.0	0.0	-60.0	-994	111	-0.04%	-0.60%	0.07%	賣轉買	買轉賣			49.6	-7.81%
櫃電零	6134	萬旭	3.0	0.0	-34.0	65	63	-0.04%	0.07%	0.07%	連三週買超	賣轉買			6.9	-0.86%
櫃電零	3144	新揚科	-90.0	0.0	-25.0	0	67	-0.02%	0.00%	0.07%	賣轉買	買轉賣			24.1	-7.49%
其他	5284	jpp-KY	-40.0	0.0	0.0	0	29	0.00%	0.00%	0.07%	賣轉買	買轉賣			40.9	-3.88%
光電	3050	鈺德	-109.0	0.0	114.0	14	96	0.08%	0.01%	0.07%	賣轉買	買轉賣			9.22	-2.43%
櫃紡織	4417	金洲	-74.0	0.0	3.0	0	54	0.00%	0.00%	0.06%	連二週買超	連二週賣超			31.5	0.00%
櫃光電	3531	先益	-3.0	0.0	54.0	36	39	0.09%	0.06%	0.06%	連三週買超	買轉賣		創新高	23.2	-3.13%
電子零組件	2413	環科	-108.0	0.0	1.0	0	81	0.00%	0.00%	0.06%	賣轉買	買轉賣		創新高	11.95	-8.78%
汽車	2228	劍麟	176.0	11.0	183.0	-265	48	0.24%	-0.35%	0.06%	賣轉買	連二週賣超	連二週買超		91.5	-8.41%
生技醫療	4141	龍燈-KY	14.0	0.0	134.0	119	108	0.08%	0.07%	0.06%	連三週買超				14.7	4.63%
櫃化工	1742	台蠟	-4.0	0.0	319.0	42	45	0.45%	0.06%	0.06%	連二週買超	買轉賣			21.4	-5.31%
通信網路	6152	百一	-5.0	0.0	-14.0	100	104	-0.01%	0.06%	0.06%	賣轉買	買轉賣			5.74	-7.42%
櫃觀光	1259	安心	2.0	0.0	22.0	19	20	0.07%	0.06%	0.06%					70.4	-0.42%
櫃電機	4527	方土霖	-2.0	0.0	21.0	45	47	0.03%	0.06%	0.06%	連三週買超	買轉賣		創新高	26.45	0.76%
櫃生技	4111	濟生	-48.0	0.0	379.0	0	35	0.67%	0.00%	0.06%	連三週買超	連三週賣超		創新高	26.9	-2.00%
電子零組件	3593	力銘	0.0	0.0	-28.0	49	50	-0.03%	0.06%	0.06%	連三週買超			創新高	11.95	-3.24%
櫃半導	6287	元隆	0.0	0.0	-22.0	262	263	-0.01%	0.06%	0.06%	連三週買超			創新高	3.2	25.98%
櫃光電	5392	應華	-266.0	0.0	-35.0	-99	100	-0.02%	-0.06%	0.06%	賣轉買	買轉賣			23.95	-4.39%
電子零組件	2402	毅嘉	-1392.0	0.0	-1694.0	-891	183	-0.55%	-0.29%	0.06%	連三週買超	買轉賣			13.05	-2.97%
櫃電機	4535	至興	-1.0	0.0	46.0	45	45	0.06%	0.06%	0.06%	連二週買超	連二週賣超			28.1	-1.23%
光電	3149	正達	-53.0	0.0	76.0	82	122	0.04%	0.04%	0.06%	賣轉買	買轉賣		創新高	6.89	-4.04%
光電	3008	大立光	366.0	1.0	80.0	-281	79	0.06%	-0.21%	0.06%	連二週買超	連二週買超	連二週買超		4140.0	-3.04%
半導體	2401	凌陽	12.0	0.0	2657.0	355	345	0.45%	0.06%	0.06%	連三週買超	賣轉買		創新高	11.25	-5.46%
食品	1229	聯華	-98.0	0.0	1307.0	552	633	0.12%	0.05%	0.06%	連三週買超	賣轉買		創新高	42.0	-1.06%
櫃電零	3388	崇越電	-52.0	0.0	5.0	0	42	0.01%	0.00%	0.06%	賣轉買	買轉賣			63.4	-8.78%
食品	1220	台榮	7.0	0.0	115.0	106	100	0.06%	0.06%	0.06%	連三週買超	賣轉買			10.75	-0.92%
其他	9939	宏全	30.0	0.0	186.0	0	163	0.06%	0.00%	0.06%	賣轉買	賣轉買			54.8	-1.97%
櫃電腦	6161	捷波	-5.0	0.0	-977.0	39	43	-1.24%	0.05%	0.05%					18.3	-5.67%
櫃電零	8043	蜜望實	-58.0	0.0	530.0	0	43	0.66%	0.00%	0.05%	賣轉買	買轉賣			24.6	-7.69%
油電燃氣	9918	欣天然	15.0	0.0	-301.0	108	96	-0.17%	0.06%	0.05%	連三週買超	連二週買超			34.8	-0.29%
電腦週邊	5258	虹堡	-28.0	0.0	-374.0	26	47	-0.42%	0.03%	0.05%	賣轉買	買轉賣			22.5	-5.86%
電子零組件	6449	鈺邦	-26.0	0.0	24.0	25	44	0.03%	0.03%	0.05%	賣轉買	買轉賣			30.75	-0.81%
化學	1723	中碳	-772.0	0.0	-425.0	-165	123	-0.18%	-0.07%	0.05%	賣轉買	連三週賣超			106.0	-1.40%
電子零組件	2420	新巨	-106.0	0.0	-22.0	0	79	-0.01%	0.00%	0.05%	賣轉買	買轉賣			32.7	-4.53%
櫃資服	5209	新鼎	-17.0	0.0	0.0	-7	12	0.00%	-0.03%	0.05%	賣轉買	買轉賣			62.5	-6.72%
櫃其他	5481	新華	-51.0	0.0	-20.0	0	38	-0.03%	0.00%	0.05%	連二週買超	買轉賣			11.6	-4.92%
通信網路	3025	星通	-2.0	0.0	22.0	35	36	0.03%	0.05%	0.05%	賣轉買	買轉賣			17.9	-3.24%
櫃營建	6264	富裔	-2.0	0.0	27.0	58	59	0.02%	0.05%	0.05%	連三週買超	連二週賣超		創新高	5.79	-3.98%
紡織	1463	強盛	45.0	0.0	16.0	121	87	0.01%	0.07%	0.05%	賣轉買	連二週買超			11.95	-1.24%
鋼鐵	2028	威致	42.0	0.0	250.0	195	163	0.08%	0.06%	0.05%	連三週買超	連二週買超		創新高	9.51	1.06%
光電	3383	新世紀	-47.0	0.0	-182.0	0	35	-0.26%	0.00%	0.05%	賣轉買	買轉賣			4.01	-5.65%
櫃其他	8935	邦泰	0.0	0.0	123.0	42	42	0.15%	0.05%	0.05%	連二週買超			創新高	8.3	-1.54%
櫃電零	5340	建榮	-131.0	0.0	-363.0	0	97	-0.19%	0.00%	0.05%	連三週買超	賣轉買		創新高	39.25	-6.44%
櫃生技	1752	南光	-94.0	0.0	-106.0	-20	49	-0.10%	-0.02%	0.05%	連三週買超	賣轉買			42.6	-3.62%
櫃塑膠	8354	冠好	1.0	0.0	11.0	39	38	0.01%	0.05%	0.05%	連三週買超				18.15	4.01%
其他	8480	泰昇-KY	-30.0	0.0	-1.0	-3	19	-0.00%	-0.01%	0.05%	賣轉買	連三週賣超			130.0	-5.80%
其它電子	2423	固緯	-94.0	0.0	-118.0	0	70	-0.08%	0.00%	0.05%	賣轉買	買轉賣			24.0	-2.64%
櫃他電	4760	勤凱	-21.0	0.0	-26.0	0	14	-0.09%	0.00%	0.05%	賣轉買	買轉賣			78.7	-12.46%
櫃光電	3455	由田	66.0	0.0	77.0	0	29	0.13%	0.00%	0.05%	連三週買超	連二週買超			48.25	-1.83%
航運	2613	中櫃	5.0	0.0	67.0	74	70	0.05%	0.05%	0.05%	連三週買超	賣轉買		創新高	13.5	0.00%
營建	3266	昇陽	12.0	0.0	106.0	176	166	0.03%	0.05%	0.05%	連三週買超	連二週買超			13.9	0.00%
櫃航運	2643	捷迅	-41.0	0.0	295.0	-14	14	0.98%	-0.05%	0.05%					48.7	3.51%
資訊服務	2471	資通	-30.0	0.0	-15.0	0	22	-0.03%	0.00%	0.05%	賣轉買	買轉賣			21.7	-2.69%
櫃半導	5487	通泰	-15.0	0.0	0.0	0	11	0.00%	0.00%	0.05%				創新高	29.15	-4.11%
通信網路	3596	智易	-1281.0	-7.0	-835.0	-312	97	-0.40%	-0.15%	0.05%	賣轉買	連二週賣超	連二週賣超		81.0	-6.14%
櫃電機	4550	長佳	-24.0	0.0	0.0	0	17	0.00%	0.00%	0.05%	連三週買超	連三週賣超		創新高	26.95	2.47%
櫃電零	6114	久威	-4.0	0.0	-1.0	17	20	-0.00%	0.04%	0.05%	連三週買超	買轉賣		創新高	24.5	-4.48%
櫃電機	1591	駿吉-KY	-3.0	0.0	-405.0	13	15	-1.22%	0.04%	0.05%	連二週買超				21.45	-7.94%
通信網路	4904	遠傳	-1735.0	132.0	-136.0	4236	1467	-0.00%	0.13%	0.05%	連三週買超	連三週賣超	連三週賣超	創新高	68.0	1.95%
其他	2062	橋椿	-98.0	0.0	-148.0	0	73	-0.09%	0.00%	0.04%	賣轉買	買轉賣			20.2	-5.16%
櫃電腦	3611	鼎翰	-30.0	0.0	0.0	0	19	0.00%	0.00%	0.04%	賣轉買	買轉賣	連三週賣超		190.5	-5.69%
電機	1589	永冠-KY	70.0	0.0	98.0	285	47	0.09%	0.27%	0.04%	賣轉買	連二週買超			60.1	-4.91%
櫃紡織	4420	光明	-25.0	0.0	-64.0	0	18	-0.16%	0.00%	0.04%	賣轉買	買轉賣			23.3	-6.80%
電子通路	3048	益登	-102.0	0.0	-47.0	22	99	-0.02%	0.01%	0.04%	賣轉買	連三週賣超			17.5	-5.41%
化學	1776	展宇	6.0	0.0	29.0	35	31	0.04%	0.05%	0.04%	賣轉買	連二週買超			17.1	-3.93%
櫃生技	6499	益安	-2.0	0.0	28.0	0	29	0.04%	0.00%	0.04%	賣轉買	連三週賣超			57.6	-3.84%
電子零組件	2478	大毅	-2480.0	0.0	-1714.0	-2243	63	-1.18%	-1.55%	0.04%	連二週買超	連二週賣超	買轉賣		79.3	-4.69%
光電	3049	和鑫	-328.0	0.0	127.0	80	351	0.02%	0.01%	0.04%	連三週買超	買轉賣			10.0	-5.21%
櫃生技	8409	商之器	-1.0	0.0	11.0	11	12	0.04%	0.04%	0.04%	連二週買超			創新高	19.4	10.54%
櫃半導	6548	長科*	-49.0	0.0	118.0	-109	155	0.03%	-0.03%	0.04%	賣轉買	連三週賣超			30.65	-4.81%
櫃電零	5328	華容	-95.0	0.0	-21.0	0	72	-0.01%	0.00%	0.04%	賣轉買	買轉賣			8.22	-6.06%
櫃半導	6494	九齊	-100.0	0.0	-60.0	-59	13	-0.19%	-0.19%	0.04%	連二週買超	連二週賣超			32.1	-5.31%
櫃電零	6220	岳豐	14.0	0.0	61.0	62	51	0.05%	0.05%	0.04%	賣轉買	賣轉買			19.2	-4.95%
櫃半導	5314	世紀	0.0	0.0	25.0	23	24	0.04%	0.04%	0.04%	連三週買超			創新高	4.62	11.33%
櫃生技	6523	達爾膚	-26.0	0.0	0.0	0	18	0.00%	0.00%	0.04%	賣轉買	買轉賣			64.1	-1.99%
其他	9929	秋雨	1.0	0.0	66.0	67	67	0.04%	0.04%	0.04%	連二週買超	連二週買超			11.3	0.44%
半導體	3686	達能	-60.0	0.0	78.0	0	45	0.07%	0.00%	0.04%	連二週買超	買轉賣			3.96	-1.00%
生技醫療	4106	雃博	-479.0	0.0	-606.0	-312	40	-0.60%	-0.31%	0.04%	連二週買超	連二週賣超			36.5	1.81%
櫃塑膠	9950	萬國通	1.0	0.0	-287.0	59	58	-0.19%	0.04%	0.04%	連二週買超	連二週買超			9.65	2.22%
化學	1713	國化	2.0	0.0	-551.0	60	59	-0.37%	0.04%	0.04%	連三週買超	連二週買超		創新高	17.8	-1.11%
櫃通信	8176	智捷	-9.0	0.0	3.0	21	28	0.00%	0.03%	0.04%	連三週買超	連三週賣超			8.7	-2.25%
紡織	1454	台富	20.0	0.0	96.0	67	51	0.07%	0.05%	0.04%	連三週買超	連二週買超		創新高	8.15	3.82%
電機	1537	廣隆	5.0	0.0	35.0	32	31	0.04%	0.04%	0.04%	賣轉買	賣轉買	買轉賣		144.0	-2.04%
櫃電零	3236	千如	-85.0	0.0	-57.0	-27	35	-0.06%	-0.03%	0.04%	連二週買超	連二週賣超			18.05	-2.43%
櫃電腦	8076	伍豐	-368.0	0.0	-301.0	-181	96	-0.12%	-0.07%	0.04%	賣轉買	連三週賣超			29.7	-8.76%
光電	3038	全台	71.0	0.0	918.0	113	60	0.57%	0.07%	0.04%	賣轉買	買轉賣	賣轉買		19.7	-4.14%
橡膠	2114	鑫永銓	-37.0	0.0	0.0	0	26	0.00%	0.00%	0.04%	賣轉買	買轉賣			80.7	-0.62%
櫃化工	4707	磐亞	-137.0	0.0	-383.0	0	105	-0.13%	0.00%	0.04%	賣轉買	連三週賣超			11.05	-7.14%
櫃營建	5213	亞昕	16.0	0.0	-322.0	138	126	-0.09%	0.04%	0.04%	連三週買超	連三週買超		創新高	15.1	0.67%
櫃其他	8476	台境	-47.0	0.0	50.0	-12	22	0.08%	-0.02%	0.04%	連三週買超	連三週賣超		創新高	22.05	-6.37%
半導體	8110	華東	-548.0	0.0	-1475.0	-253	182	-0.29%	-0.05%	0.04%	賣轉買	買轉賣			9.73	-2.70%
櫃通信	6163	華電網	-10.0	0.0	43.0	36	44	0.03%	0.03%	0.04%	連二週買超	連三週賣超			15.1	-6.21%
櫃電腦	5490	同亨	-136.0	0.0	-119.0	-67	34	-0.12%	-0.07%	0.04%	連二週買超	連二週賣超			25.5	-4.32%
櫃電零	8038	長園科	-29.0	0.0	-42.0	0	21	-0.07%	0.00%	0.04%	賣轉買	買轉賣			32.15	-1.08%
半導體	4952	凌通	-52.0	0.0	406.0	0	38	0.37%	0.00%	0.03%	賣轉買	買轉賣			29.35	-3.61%
櫃光電	4933	友輝	-37.0	0.0	135.0	0	27	0.17%	0.00%	0.03%	賣轉買	買轉賣		創新高	22.55	-0.66%
汽車	1533	車王電	-47.0	0.0	0.0	0	34	0.00%	0.00%	0.03%	賣轉買	買轉賣		創新高	29.2	-2.34%
其他	1435	中福	-8.0	0.0	86.0	41	48	0.06%	0.03%	0.03%	連三週買超	買轉賣		創新高	8.37	-3.90%
櫃其他	8440	綠電	-4.0	0.0	10.0	11	13	0.03%	0.03%	0.03%	連三週買超	連二週賣超			12.55	-2.71%
其它電子	6215	和椿	-61.0	0.0	43.0	-16	28	0.05%	-0.02%	0.03%	賣轉買	買轉賣			14.4	-8.57%
櫃電零	8074	鉅橡	-5.0	0.0	30.0	25	29	0.03%	0.03%	0.03%	連三週買超	買轉賣			16.85	-0.59%
電子零組件	3058	立德	14.0	0.0	69.0	65	55	0.04%	0.04%	0.03%	賣轉買	連二週買超		創新高	6.68	0.15%
櫃生技	8279	生展	-14.0	0.0	0.0	0	9	0.00%	0.00%	0.03%	賣轉買	買轉賣			111.5	-3.46%
櫃生技	3176	基亞	-74.0	0.0	-7.0	-27	46	-0.01%	-0.02%	0.03%	連二週買超	賣轉買			64.7	5.20%
塑膠	1326	台化	-966.0	0.0	968.0	3516	1934	0.02%	0.06%	0.03%	連二週買超	買轉賣	連二週賣超		74.2	-1.85%
玻璃	1806	冠軍	-70.0	0.0	520.0	86	142	0.12%	0.02%	0.03%	連二週買超	買轉賣			5.12	-3.21%
櫃營建	5206	坤悅	-64.0	0.0	935.0	0	48	0.63%	0.00%	0.03%	賣轉買	買轉賣			16.7	3.73%
櫃電零	6185	幃翔	35.0	0.0	157.0	74	48	0.10%	0.05%	0.03%	連三週買超	賣轉買			15.85	-6.21%
光電	2374	佳能	-117.0	0.0	-85.0	0	90	-0.03%	0.00%	0.03%	連二週買超	連三週賣超			11.65	-7.54%
光電	5243	乙盛-KY	-72.0	0.0	425.0	0	53	0.25%	0.00%	0.03%	賣轉買	連三週賣超			32.0	-4.90%
生技醫療	4148	全宇生技-KY	-28.0	0.0	0.0	0	20	0.00%	0.00%	0.03%	連三週買超	連三週賣超			37.65	-1.70%
櫃他電	8092	建暐	-11.0	0.0	33.0	3	12	0.08%	0.01%	0.03%	賣轉買	買轉賣		創新高	7.49	-3.35%
櫃鋼鐵	5014	建錩	-2.0	0.0	585.0	49	51	0.35%	0.03%	0.03%	連三週買超				8.0	0.00%
鋼鐵	3004	豐達科	-162.0	0.0	-100.0	-1016	16	-0.19%	-1.93%	0.03%	賣轉買	連二週賣超			58.1	-11.57%
櫃油電	8927	北基	0.0	0.0	705.0	57	58	0.37%	0.03%	0.03%	連三週買超				15.1	-0.98%
其他	9917	中保科	-148.0	0.0	27.0	-45	136	0.01%	-0.01%	0.03%	連二週買超	連三週賣超		創新高	86.8	-0.12%
電子零組件	3032	偉訓	-15.0	0.0	124.0	22	34	0.11%	0.02%	0.03%	賣轉買	買轉賣			29.65	-2.15%
汽車	1512	瑞利	0.0	0.0	-285.0	71	71	-0.12%	0.03%	0.03%	連三週買超			創新高	5.64	-6.16%
櫃文創	6294	智基	-16.0	0.0	-3.0	-2	7	-0.01%	-0.01%	0.03%	賣轉買	買轉賣			110.0	-2.65%
櫃電腦	4924	欣厚-KY	40.0	0.0	40.0	40	11	0.11%	0.11%	0.03%	連三週買超	賣轉買		創新高	6.85	-3.39%
櫃生技	4153	鈺緯	-1.0	0.0	22.0	22	22	0.03%	0.03%	0.03%				創新高	28.9	-2.03%
電子零組件	4943	康控-KY	-706.0	7.0	-444.0	136	40	-0.32%	0.10%	0.03%	賣轉買	買轉賣			111.5	-9.72%
航運	2612	中航	-24.0	0.0	-559.0	39	57	-0.28%	0.02%	0.03%	連三週買超	買轉賣		創新高	24.85	-2.36%
櫃電零	3484	崧騰	-27.0	0.0	-218.0	0	20	-0.31%	0.00%	0.03%	賣轉買	連三週賣超			24.5	-4.67%
半導體	6573	虹揚-KY	-17.0	0.0	433.0	6	19	0.64%	0.01%	0.03%	連二週買超	連二週賣超			19.0	8.26%
櫃生技	1788	杏昌	-15.0	0.0	0.0	0	10	0.00%	0.00%	0.03%	連三週買超	連三週賣超		創新高	110.0	0.00%
