類別	代碼	名稱	法人進出	"人壽金控
進出"	"400張以上
增減"	"千張以上
增減"	"內部大戶
增減"	"400張以上
增減占比"	"千張以上
增減占比"	"內部大戶
增減占比"	"內部大戶
買賣超"	外資	投信	"內部大戶
半年內持股"	股價	股價漲幅
生技醫療	4190	佐登-KY	12.0	0.0	419.0	18	410	0.69%	0.03%	0.67%	賣轉買	連二週買超			83.0	-3.15%
生技醫療	1707	葡萄王	268.0	190.0	1270.0	1785	907	0.93%	1.31%	0.67%	連三週買超	賣轉買	連三週賣超		197.0	1.03%
食品	1215	卜蜂	-325.0	0.0	1507.0	1661	1745	0.56%	0.62%	0.65%	連三週買超	買轉賣	買轉賣	創新高	73.1	-2.14%
營建	3052	夆典	-2715.0	0.0	-2591.0	-594	1484	-1.13%	-0.26%	0.65%	連二週買超	連三週賣超			11.5	1.77%
貿易百貨	2614	東森	113.0	0.0	592.0	3674	3585	0.11%	0.66%	0.64%	賣轉買	賣轉買			15.55	-1.58%
其它電子	2390	云辰	-1544.0	0.0	-1834.0	192	1372	-0.86%	0.09%	0.64%	賣轉買	連三週賣超			12.1	7.56%
櫃電腦	6150	撼訊	-295.0	0.0	0.0	0	213	0.00%	0.00%	0.64%	連二週買超	連二週賣超			50.3	-3.64%
半導體	2338	光罩	-1615.0	0.0	-1410.0	379	1605	-0.56%	0.15%	0.64%	賣轉買	連三週賣超			26.1	-3.87%
櫃光電	3615	安可	-4.0	0.0	212.0	431	434	0.31%	0.63%	0.63%	連三週買超	連二週賣超		創新高	14.6	-0.68%
半導體	8016	矽創	1591.0	0.0	1812.0	3856	749	1.51%	3.21%	0.62%	賣轉買	連三週賣超	連三週買超		156.5	0.64%
櫃生技	4728	雙美	30.0	0.0	360.0	-1214	338	0.66%	-2.23%	0.62%	賣轉買	買轉賣			78.6	-3.79%
電子零組件	6141	柏承	659.0	0.0	594.0	1299	804	0.46%	1.00%	0.62%	賣轉買	連二週買超			17.55	-4.88%
電子通路	3209	全科	1.0	0.0	-312.0	1100	1100	-0.17%	0.61%	0.61%	賣轉買	買轉賣		創新高	20.0	-3.85%
